label,thermal,pressure,fill,chemistry,tooling,image
1,-0.4400322921574116,-0.14336880296468735,2.1621760427951813,1.6260525919497013,-0.09971331804990768,0.3188979693222791
1,-0.4940083213150501,-0.09269585716538131,-0.9769051969051361,2.163877391605638,-0.16803668439388275,1.2260644522029907
1,0.14304958563297987,-0.1385684348642826,-0.0973227471113205,1.7557565136812627,-0.16427519917488098,-0.599789751926437
1,-0.6725144647061825,-0.11085698753595352,-0.9424401223659515,1.8743794905021787,-0.13542857766151428,-0.36455575020227116
1,-0.48091900907456875,0.2632552199065685,-0.2347470223903656,1.7264809645712376,-0.035751823335886,-0.08179234527051449
1,0.013149090111255646,-0.08653838746249676,1.5325075089931488,1.3610397670418024,-0.055632974952459335,0.3821359524736181
1,-0.11187470960430801,-0.07807657867670059,2.3600844964385033,1.3152266016695648,-0.08009332418441772,1.7266344628296793
1,-0.413330627605319,-0.12449825927615166,-0.6849631518125534,1.8985836170613766,-0.19643473625183105,-1.549943501362577
1,-0.6255971491336823,0.20356237702071667,-0.2832418456673622,1.7985026985406876,-0.08947009593248367,4.990062283817679
1,-0.42954397946596146,-0.08221347071230412,-0.8925031423568726,1.8499509301036596,-0.14909489452838898,0.968672739181784
1,-0.5369971878826618,-0.09746402688324451,-0.6393013745546341,1.783286769874394,-0.14017905294895172,-0.11385556461755186
1,-0.24876891635358334,-0.118473120033741,0.7233640253543854,1.578361850231886,-0.15186025202274323,-1.0109096788801253
1,-0.5988343507051468,0.052404231391847134,-1.0062941014766693,1.7716573793441057,-0.15159234404563904,0.32924496254418045
1,-0.4831583332270384,-0.02393281226977706,3.6517006158828735,1.1343082338571548,-0.13373011350631714,0.610742456978187
1,-0.45878005772829056,0.14471027627587318,2.121834859251976,1.0900764222024009,-0.09318109601736069,-0.11442180018639192
1,-0.42323081591166556,-0.018270468339323997,-0.08049631118774414,1.4715729719027877,-0.11970245838165283,1.2812793614975817
1,-0.3132269121706486,0.45102206245064735,-0.24285195767879486,2.234651684120763,-0.1656290888786316,1.9939031088724732
1,-0.4407602297142148,-0.054522483609616756,-0.7580810189247131,1.906872860621661,-0.14226433634757996,0.49527382012456656
1,-0.5450452752411366,0.1919823493808508,1.4374742805957794,1.6936831809580326,-0.13581375777721405,2.366235120454803
1,0.04356581810861826,-0.05147031811065972,2.1553218364715576,1.5581650375388563,-0.05210116505622864,0.18427396821789443
1,-0.6160721620544791,-0.07553226873278618,-0.6736514568328857,1.9640987874008715,-0.08439070731401443,1.011302153696306
1,-0.45265619084239006,-0.08225174620747566,2.25020831823349,1.2631507981568575,-0.17975108325481415,1.5410307804886543
1,-0.3522316962480545,0.6671450585126877,-0.742011770606041,1.795073286164552,-0.06622155010700226,-0.036925310268998146
1,0.08029798790812492,0.05749892815947533,0.7512523531913757,1.4383508581668139,-0.042396143078804016,2.735040489467792
1,-0.542791579850018,-0.12476927414536476,1.1473388373851776,1.5907014897093177,-0.09428829699754715,1.7370780010242015
1,-0.6834646607749164,-0.07624657265841961,0.1243772804737091,1.7138487007468939,-0.13958197832107544,1.7010978620965034
1,-0.45882363617420197,-0.09419332165271044,-0.19940976798534393,1.970065463334322,-0.16671256721019745,-0.3478090171702206
1,-0.6430746940895915,-0.05105951614677906,0.10324203968048096,1.7072837287560105,-0.13735856115818024,1.8167250114493072
1,-0.6963284760713577,0.00917687825858593,-0.2290133833885193,1.7258131876587868,-0.1435915231704712,2.724223013035953
1,-0.2612037118524313,-0.14187054708600044,-0.9685255885124207,1.681730039883405,-0.14258472621440887,-0.4677898767986335
1,0.42296791821718216,-0.026061479467898607,3.5017879009246826,1.1053996477276087,-0.09376924484968185,2.2039453694596887
1,-0.5145271122455597,-0.04609628301113844,2.5716976523399353,1.1593790375627577,-0.06637261062860489,0.99222123157233
1,-0.4539056485518813,-0.08232444897294044,-0.6249521821737289,1.828130804700777,-0.1448499858379364,3.8614575383253396
1,-0.6806626617908478,-0.0854507889598608,0.9960868656635284,1.625359947211109,-0.15940095484256744,-0.6294642834691331
1,-0.37465150747448206,0.19491462782025337,-0.004673391580581665,1.7740032733418047,-0.158585786819458,1.276143805909669
1,0.03846187889575958,-0.019496309803798795,0.06278496980667114,1.5635108351707458,-0.14766961336135864,0.09579011308960617
1,-0.6247895583510399,0.2935406230390072,-0.17348533868789673,1.9371735327877104,-0.10382623225450516,0.5784895261749625
