seed,modality,regime,estimator,threshold,abstention_rate,coverage_defect,coverage_ok,roc_auc,pr_auc,brier,recall,precision,f1,escape_rate,overkill_rate,true_negative,false_positive,false_negative,true_positive
99,fusion,inline,xgboost,0.06,0.18321678321678322,0.6843267108167771,0.9351145038167938,0.9820029321065669,0.9899302945741217,0.06813122233292492,0.9757174392935982,0.9094650205761317,0.9414270500532481,0.024282560706401765,0.16793893129770993,218,44,11,442
123,vision,lab,xgboost,0.01,0.11328671328671329,0.8940397350993378,0.8625954198473282,0.9963601435721147,0.9978360078606343,0.0219302182893208,1.0,0.884765625,0.938860103626943,0.0,0.22519083969465647,203,59,0,453
123,process,lab,xgboost,0.005,0.15524475524475526,0.5849889624724062,0.9580152671755725,0.8471133916384409,0.8997872900916912,0.21448360205744058,1.0,0.6335664335664336,0.7756849315068494,0.0,1.0,0,262,0,453
123,fusion,lab,xgboost,0.005,0.15244755244755245,0.7947019867549668,0.9122137404580153,0.9926570951923563,0.994100644238519,0.026671512918042317,0.9955849889624724,0.9260780287474333,0.9595744680851064,0.004415011037527594,0.13740458015267176,226,36,2,451
123,vision,inline,xgboost,0.045,0.05874125874125874,0.9006622516556292,0.9198473282442748,0.9847243988338978,0.9914039579809617,0.041997125736587856,0.9911699779249448,0.8439849624060151,0.9116751269035533,0.008830022075055188,0.31679389312977096,179,83,4,449
123,process,inline,xgboost,0.005,0.15524475524475526,0.5849889624724062,0.9580152671755725,0.8471133916384409,0.8997872900916912,0.21448360205744058,1.0,0.6335664335664336,0.7756849315068494,0.0,1.0,0,262,0,453
123,fusion,inline,xgboost,0.015,0.14545454545454545,0.7461368653421634,0.9465648854961832,0.9864179431440945,0.9923584203295879,0.0593556314604979,0.9845474613686535,0.8831683168316832,0.9311064718162839,0.01545253863134658,0.22519083969465647,203,59,7,446
2024,vision,lab,xgboost,0.01,0.11328671328671329,0.8940397350993378,0.8625954198473282,0.9963601435721147,0.9978360078606343,0.0219302182893208,1.0,0.884765625,0.938860103626943,0.0,0.22519083969465647,203,59,0,453
2024,process,lab,xgboost,0.015,0.2811188811188811,0.7527593818984547,0.9618320610687023,0.8296050081728258,0.9015027680827371,0.1788734535260703,1.0,0.6335664335664336,0.7756849315068494,0.0,1.0,0,262,0,453
2024,fusion,lab,xgboost,0.015,0.12167832167832168,0.8852097130242825,0.8587786259541985,0.9970131270748024,0.9982417613687234,0.02017754346609649,1.0,0.917004048582996,0.9567053854276664,0.0,0.15648854961832062,221,41,0,453
2024,vision,inline,xgboost,0.045,0.05874125874125874,0.9006622516556292,0.9198473282442748,0.9847243988338978,0.9914039579809617,0.041997125736587856,0.9911699779249448,0.8439849624060151,0.9116751269035533,0.008830022075055188,0.31679389312977096,179,83,4,449
2024,process,inline,xgboost,0.015,0.2811188811188811,0.7527593818984547,0.9618320610687023,0.8296050081728258,0.9015027680827371,0.1788734535260703,1.0,0.6335664335664336,0.7756849315068494,0.0,1.0,0,262,0,453
2024,fusion,inline,xgboost,0.015,0.11888111888111888,0.8278145695364238,0.9198473282442748,0.9909888276629089,0.9948427792377994,0.04078047798882563,1.0,0.755,0.8603988603988604,0.0,0.5610687022900763,115,147,0,453
