seed,severity,modality,regime,estimator,threshold,abstention_rate,coverage_defect,coverage_ok,roc_auc,pr_auc,brier,recall,precision,f1,escape_rate,overkill_rate,true_negative,false_positive,false_negative,true_positive
7,3.0,process,inline,xgboost,0.030000000000000002,0.35524475524475524,0.9558498896247241,0.7175572519083969,0.7843258682574187,0.8711607505647224,0.18494328556582687,1.0,0.6335664335664336,0.7756849315068494,0.0,1.0,0,262,0,453
7,3.0,fusion,inline,xgboost,0.005,0.004195804195804196,0.9139072847682119,0.732824427480916,0.9276957686669026,0.9591008906969016,0.11134482928924444,1.0,0.634453781512605,0.7763496143958869,0.0,0.9961832061068703,1,261,0,453
99,0.5,vision,inline,xgboost,0.015,0.08251748251748252,0.9249448123620309,0.9007633587786259,0.9994439108235174,0.9996913508517286,0.007657451298758369,1.0,0.884765625,0.938860103626943,0.0,0.22519083969465647,203,59,0,453
99,0.5,process,inline,xgboost,0.030000000000000002,0.11748251748251748,0.4988962472406181,0.9541984732824428,0.798118564952901,0.8705204628501206,0.2400818177930684,0.9911699779249448,0.6632200886262924,0.7946902654867256,0.008830022075055188,0.8702290076335878,34,228,4,449
99,0.5,fusion,inline,xgboost,0.07,0.07272727272727272,0.9183222958057395,0.9389312977099237,0.9994986771818075,0.9997095823925043,0.009930034389787026,0.9977924944812362,0.9720430107526882,0.9847494553376906,0.002207505518763797,0.04961832061068702,249,13,1,452
99,1.0,vision,inline,xgboost,0.01,0.0937062937062937,0.9094922737306843,0.8854961832061069,0.9965539322245252,0.998252450059684,0.015715056670048064,0.9977924944812362,0.7985865724381626,0.887144259077527,0.002207505518763797,0.4351145038167939,148,114,1,452
99,1.0,process,inline,xgboost,0.030000000000000002,0.11748251748251748,0.4988962472406181,0.9541984732824428,0.798118564952901,0.8705204628501206,0.2400818177930684,0.9911699779249448,0.6632200886262924,0.7946902654867256,0.008830022075055188,0.8702290076335878,34,228,4,449
99,1.0,fusion,inline,xgboost,0.02,0.14965034965034965,0.8013245033112583,0.916030534351145,0.9977798560908616,0.9987427462406065,0.02000791316977582,1.0,0.897029702970297,0.9457202505219207,0.0,0.1984732824427481,210,52,0,453
99,1.5,vision,inline,xgboost,0.04,0.07692307692307693,0.9205298013245033,0.9045801526717557,0.9943969802672598,0.9969946462092695,0.026303300487100858,0.9977924944812362,0.8293577981651377,0.905811623246493,0.002207505518763797,0.3549618320610687,169,93,1,452
99,1.5,process,inline,xgboost,0.030000000000000002,0.11748251748251748,0.4988962472406181,0.9541984732824428,0.798118564952901,0.8705204628501206,0.2400818177930684,0.9911699779249448,0.6632200886262924,0.7946902654867256,0.008830022075055188,0.8702290076335878,34,228,4,449
99,1.5,fusion,inline,xgboost,0.005,0.15804195804195803,0.7549668874172185,0.9541984732824428,0.9941357868661848,0.9966786339279865,0.037334212284215566,0.9977924944812362,0.8218181818181818,0.901296111665005,0.002207505518763797,0.37404580152671757,164,98,1,452
